DRUG_ID,Screened Compounds:,IC50_Threshold
1,Erlotinib,1.5671
3,Rapamycin,-3.6395
5,Sunitinib,0.50064
6,PHA-665752,1.9064
9,MG-132,-2.0053
11,Paclitaxel,-5.6772
17,Cyclopamine,3.4712
29,AZ628,-0.034145
30,Sorafenib,0.61159
32,Tozasertib,-0.59242
34,Imatinib,2.0495
35,NVP-TAE684,-1.1256
37,Crizotinib,1.2531
38,Saracatinib,0.96253
41,S-Trityl-L-cysteine,-0.71324
45,Z-LLNle-CHO,-0.60881
51,Dasatinib,-0.28739
52,GNF-2,1.613
53,CGP-60474,-3.6524
54,CGP-082996,1.202
55,A-770041,1.8731
56,WH-4-023,0.88193
59,WZ-1-84,2.6003
60,BI-2536,-4.0077
62,BMS-536924,-0.40222
63,BMS-509744,1.5906
64,CMK,0.35105
71,Pyrimethamine,1.5774
83,JW-7-52-1,-4.1814
86,A-443654,-2.3385
87,GW843682X,-4.9006
88,Entinostat,-1.2652
89,Parthenolide,1.2425
91,GSK319347A,3.0676
94,TGX221,2.5805
104,Bortezomib,-7.6275
106,XMD8-85,1.207
110,Seliciclib,2.6035
111,Salubrinal,2.056
119,Lapatinib,1.6257
127,GSK269962A,0.35074
133,Doxorubicin,-3.9565
134,Etoposide,-1.2198
135,Gemcitabine,-5.9903
136,Mitomycin-C,-2.9647
140,Vinorelbine,-5.9536
147,NSC-87877,3.9149
150,Bicalutamide,1.8801
150,Bicalutamide.1,3.5949
151,QS11,1.3074
152,CP466722,0.91394
153,Midostaurin,-1.6842
154,CHIR-99021,2.0114
155,Ponatinib,-1.3235
156,AZD6482,0.71712
157,JNK-9L,-1.4101
158,PF-562271,0.49307
159,HG6-64-1,-1.0384
163,JQ1,-1.898
164,JQ12,-0.91746
165,DMOG,4.4041
166,FTI-277,1.1367
167,OSU-03012,0.47889
170,Shikonin,-1.4095
171,AKT inhibitor VIII,0.96012
172,Embelin,1.5946
173,FH535,0.56208
175,PAC-1,0.29904
176,IPA-3,1.704
177,GSK650394,1.0119
178,BAY-61-3606,0.21279
179,5-Fluorouracil,1.1236
180,Thapsigargin,-6.1632
182,Obatoclax Mesylate,-3.1448
184,BMS-754807,-1.1641
185,Linsitinib,0.50445
186,Bexarotene,2.0167
190,Bleomycin,-1.4805
192,LFM-A13,3.6673
193,GW-2580,4.5004
194,Luminespib,-4.7212
196,Phenformin,5.2789
197,Bryostatin 1,-3.9017
199,Pazopanib,1.6529
200,Dacinostat,-4.1809
201,Epothilone B,-7.4389
202,GSK1904529A,1.3827
202,GSK269962A.1,0.51383
203,BMS-345541,1.8541
204,Tipifarnib,-0.31364
205,Avagacestat,3.9907
206,Ruxolitinib,3.2715
207,AS601245,0.8995
208,Ispinesib Mesylate,-4.6156
211,TL-2-105,2.451
219,AT-7519,-1.7295
221,TAK-715,2.5463
222,BX-912,0.74305
223,ZSTK474,-1.0205
224,AS605240,1.1342
225,Genentech Cpd 10,0.33153
226,GSK1070916,0.43383
229,Enzastaurin,1.0593
230,GSK429286A,3.4721
231,FMK,4.102
235,QL-XII-47,-1.0189
238,Idelalisib,3.0467
245,UNC0638,1.3874
249,Cabozantinib,1.1741
252,WZ3105,-2.1998
253,XMD14-99,3.3571
254,Quizartinib,1.3162
255,CP724714,3.257
256,JW-7-24-1,-0.10754
257,NPK76-II-72-1,0.47397
258,STF-62247,3.3769
260,NG-25,1.0297
261,TL-1-85,1.3253
262,VX-11e,1.0031
263,FR-180204,3.832
265,Tubastatin A,3.8933
266,Zibotentan,4.8219
268,Sepantronium bromide,-6.0265
269,NSC-207895,1.8796
271,VNLG/124,2.9403
272,AR-42,-2.3664
273,CUDC-101,-2.4009
274,Belinostat,-1.8784
276,CAY10603,-1.1523
277,Linifanib,1.6449
279,BIX02189,2.7699
281,Alectinib,2.9319
282,Pelitinib,-0.47851
283,Omipalisib,-5.2594
286,KIN001-236,3.0484
287,KIN001-244,1.9164
288,WHI-P97,2.6822
290,KIN001-260,3.9071
291,KIN001-266,2.2663
